02-05-21:53:51.1504 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:53:52.2514 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:53:53.3515 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:54:23.4512 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:24.4513 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:25.5523 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:26.6524 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-21:54:56.6531 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:57.7532 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:58.8532 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20016
02-05-21:54:59.9533 7196 SceneServer::CSSBattle::OnBornNPCFunc:117 super solder:20017
02-05-22:35:31.7614 6744 CCentralSession::OnClose:47 CS DisConnect.
